GENESIS-Tabelle: 61261-0014
Construction cost indices for residential buildings:;;;;
Germany, quarters, type of construction costs;;;;
Price indices for the construction industry;;;;
Germany;;;;
Construction cost indices f. residential buildings (2015=100);;;;
;;Type of construction costs;Type of construction costs;Type of construction costs
;;Construction costs, total;Material costs;Labour costs
2000;Quarter 1;75.7;75.5;75.9
2000;Quarter 2;76.6;76.2;77.3
2000;Quarter 3;76.5;75.8;77.7
2000;Quarter 4;76.7;75.7;78.2
2001;Quarter 1;76.5;75.6;77.8
2001;Quarter 2;77.0;75.5;79.3
2001;Quarter 3;77.0;75.5;79.2
2001;Quarter 4;76.9;75.5;79.1
2002;Quarter 1;77.3;75.3;80.4
2002;Quarter 2;77.7;75.6;80.9
2002;Quarter 3;77.9;75.8;81.1
2002;Quarter 4;77.5;75.3;80.9
2003;Quarter 1;78.4;75.6;82.7
2003;Quarter 2;79.0;75.9;83.7
2003;Quarter 3;78.3;75.6;82.5
2003;Quarter 4;78.1;75.7;81.8
2004;Quarter 1;79.4;76.9;83.2
2004;Quarter 2;81.2;79.9;83.3
2004;Quarter 3;81.2;79.9;83.2
2004;Quarter 4;80.4;79.9;81.3
2005;Quarter 1;81.7;80.5;83.6
2005;Quarter 2;81.9;80.5;84.2
2005;Quarter 3;81.9;80.9;83.6
2005;Quarter 4;81.7;81.4;82.2
2006;Quarter 1;83.2;82.2;84.8
2006;Quarter 2;83.0;83.5;82.1
2006;Quarter 3;83.9;85.4;81.5
2006;Quarter 4;84.9;86.2;82.9
2007;Quarter 1;85.7;87.5;82.8
2007;Quarter 2;86.8;89.2;83.0
2007;Quarter 3;87.1;88.6;84.7
2007;Quarter 4;86.8;87.6;85.5
2008;Quarter 1;87.7;89.0;85.8
2008;Quarter 2;89.4;91.5;86.0
2008;Quarter 3;90.9;93.0;87.5
2008;Quarter 4;89.8;90.2;89.3
2009;Quarter 1;89.8;89.6;90.2
2009;Quarter 2;89.6;89.3;90.0
2009;Quarter 3;89.6;89.3;90.2
2009;Quarter 4;90.1;89.4;91.2
2010;Quarter 1;90.3;89.9;91.0
2010;Quarter 2;91.8;92.3;90.9
2010;Quarter 3;92.0;92.5;91.2
2010;Quarter 4;93.2;93.5;92.8
2011;Quarter 1;93.9;95.2;91.6
2011;Quarter 2;95.1;96.0;93.4
2011;Quarter 3;95.6;96.6;93.9
2011;Quarter 4;96.2;96.7;95.2
2012;Quarter 1;96.5;97.3;95.1
2012;Quarter 2;97.2;97.7;96.2
2012;Quarter 3;97.4;97.7;96.9
2012;Quarter 4;97.4;97.9;96.6
2013;Quarter 1;97.7;98.3;96.7
2013;Quarter 2;97.6;98.6;95.8
2013;Quarter 3;97.6;98.9;95.4
2013;Quarter 4;98.2;99.3;96.2
2014;Quarter 1;98.6;99.6;96.8
2014;Quarter 2;98.4;99.6;96.4
2014;Quarter 3;98.8;99.8;97.2
2014;Quarter 4;99.0;99.6;97.9
2015;Quarter 1;100.1;100.0;100.1
2015;Quarter 2;100.0;100.4;99.5
2015;Quarter 3;100.1;100.2;99.9
2015;Quarter 4;99.8;99.4;100.4
2016;Quarter 1;100.1;99.4;101.4
2016;Quarter 2;101.0;100.5;101.9
2016;Quarter 3;101.8;101.0;103.2
2016;Quarter 4;102.2;100.9;104.5
2017;Quarter 1;103.7;101.9;106.7
2017;Quarter 2;104.1;102.6;106.8
2017;Quarter 3;105.2;103.4;108.5
2017;Quarter 4;106.4;104.4;110.1
2018;Quarter 1;107.7;105.7;111.4
2018;Quarter 2;108.3;106.4;111.9
2018;Quarter 3;109.2;107.0;113.1
2018;Quarter 4;109.4;107.3;113.2
2019;Quarter 1;110.2;108.1;114.0
2019;Quarter 2;111.3;108.7;116.1
2019;Quarter 3;110.9;108.6;115.2
2019;Quarter 4;111.4;108.0;117.4
2020;Quarter 1;111.8;109.1;116.7
2020;Quarter 2;111.7;109.2;116.3
2020;Quarter 3;112.9;109.3;119.3
2020;Quarter 4;112.3;110.0;116.6
2021;Quarter 1;115.1;112.5;119.9
2021;Quarter 2;117.5;116.6;119.8
2021;Quarter 3;124.1;123.9;125.7
2021;Quarter 4;124.6;125.6;124.0
2022;Quarter 1;130.3;131.3;129.7
2022;Quarter 2;136.3;141.7;129.1
2022;Quarter 3;138.5;144.3;130.6
2022;Quarter 4;140.5;144.5;135.5
__________
"Indices excluding turnover tax.

Labour costs:
Labour cost index for the construction industry, calendar
and seasonally adjusted using X13 JDemetra+, rebased
from 2016=100 to 2015=100."
© Federal Statistical Office, Wiesbaden 2023
created: 2023-06-20 / 12:33:29
